strategie,n_estimators,max_samples,contamination,pr_auc,pr_auc_sd,lift
Novelty,100,1024,auto,0.5704773678965849,0.008907531840777522,13.675250086111884
Novelty,100,1024,0.05,0.5704773678965849,0.008907531840777522,13.675250086111884
Novelty,100,1024,0.03,0.5704773678965849,0.008907531840777522,13.675250086111884
Novelty,100,1024,0.02,0.5704773678965849,0.008907531840777522,13.675250086111884
Novelty,200,1024,auto,0.5629532219089426,0.006091178845813831,13.494884336555845
Novelty,200,1024,0.05,0.5629532219089426,0.006091178845813831,13.494884336555845
Novelty,200,1024,0.03,0.5629532219089426,0.006091178845813831,13.494884336555845
Novelty,200,1024,0.02,0.5629532219089426,0.006091178845813831,13.494884336555845
Novelty,300,1024,0.02,0.5623933281067053,0.005414195324953164,13.481462791376076
Novelty,300,1024,0.03,0.5623933281067053,0.005414195324953164,13.481462791376076
Novelty,300,1024,0.05,0.5623933281067053,0.005414195324953164,13.481462791376076
Novelty,300,1024,auto,0.5623933281067053,0.005414195324953164,13.481462791376076
Novelty,100,512,0.02,0.5548728052790419,0.013821940228498007,13.301183894728851
Novelty,100,512,0.03,0.5548728052790419,0.013821940228498007,13.301183894728851
Novelty,100,512,0.05,0.5548728052790419,0.013821940228498007,13.301183894728851
Novelty,100,512,auto,0.5548728052790419,0.013821940228498007,13.301183894728851
Novelty,200,512,auto,0.5542198036389139,0.007870960050654201,13.285530406548736
Novelty,200,512,0.05,0.5542198036389139,0.007870960050654201,13.285530406548736
Novelty,200,512,0.03,0.5542198036389139,0.007870960050654201,13.285530406548736
Novelty,200,512,0.02,0.5542198036389139,0.007870960050654201,13.285530406548736
Novelty,300,512,auto,0.5530018856616279,0.00622601726078003,13.256334975036408
Novelty,300,512,0.05,0.5530018856616279,0.00622601726078003,13.256334975036408
Novelty,300,512,0.03,0.5530018856616279,0.00622601726078003,13.256334975036408
Novelty,300,512,0.02,0.5530018856616279,0.00622601726078003,13.256334975036408
Novelty,200,256,0.02,0.5425433468726016,0.011908802919417713,13.005627161679012
Novelty,200,256,0.03,0.5425433468726016,0.011908802919417713,13.005627161679012
Novelty,200,256,0.05,0.5425433468726016,0.011908802919417713,13.005627161679012
Novelty,200,256,auto,0.5425433468726016,0.011908802919417713,13.005627161679012
Novelty,300,256,0.02,0.541334268087154,0.011911394481188723,12.976643619657402
Novelty,300,256,0.03,0.541334268087154,0.011911394481188723,12.976643619657402
Novelty,300,256,0.05,0.541334268087154,0.011911394481188723,12.976643619657402
Novelty,300,256,auto,0.541334268087154,0.011911394481188723,12.976643619657402
Novelty,100,256,0.02,0.5378571744985978,0.0229732862805946,12.893292154599909
Novelty,100,256,0.03,0.5378571744985978,0.0229732862805946,12.893292154599909
Novelty,100,256,0.05,0.5378571744985978,0.0229732862805946,12.893292154599909
Novelty,100,256,auto,0.5378571744985978,0.0229732862805946,12.893292154599909
Outlier,200,256,0.02,0.26797715354372537,0.0159888766722871,6.423838697732825
Outlier,200,256,0.03,0.26797715354372537,0.0159888766722871,6.423838697732825
Outlier,200,256,0.05,0.26797715354372537,0.0159888766722871,6.423838697732825
Outlier,200,256,auto,0.26797715354372537,0.0159888766722871,6.423838697732825
Outlier,100,256,auto,0.26279634407329217,0.022908656705075883,6.2996464525296565
Outlier,100,256,0.05,0.26279634407329217,0.022908656705075883,6.2996464525296565
Outlier,100,256,0.03,0.26279634407329217,0.022908656705075883,6.2996464525296565
Outlier,100,256,0.02,0.26279634407329217,0.022908656705075883,6.2996464525296565
Outlier,300,256,0.02,0.2620195464608083,0.023526411155246268,6.281025377944034
Outlier,300,256,0.03,0.2620195464608083,0.023526411155246268,6.281025377944034
Outlier,300,256,0.05,0.2620195464608083,0.023526411155246268,6.281025377944034
Outlier,300,256,auto,0.2620195464608083,0.023526411155246268,6.281025377944034
Outlier,200,512,auto,0.19749375197478072,0.0100800032492527,4.734239429440908
Outlier,200,512,0.05,0.19749375197478072,0.0100800032492527,4.734239429440908
Outlier,200,512,0.03,0.19749375197478072,0.0100800032492527,4.734239429440908
Outlier,200,512,0.02,0.19749375197478072,0.0100800032492527,4.734239429440908
Outlier,100,512,auto,0.19726319246984692,0.018735588221280897,4.7287125513084325
Outlier,100,512,0.05,0.19726319246984692,0.018735588221280897,4.7287125513084325
Outlier,100,512,0.03,0.19726319246984692,0.018735588221280897,4.7287125513084325
Outlier,100,512,0.02,0.19726319246984692,0.018735588221280897,4.7287125513084325
Outlier,300,512,auto,0.1943790180263904,0.010692740851556665,4.659574301439438
Outlier,300,512,0.05,0.1943790180263904,0.010692740851556665,4.659574301439438
Outlier,300,512,0.03,0.1943790180263904,0.010692740851556665,4.659574301439438
Outlier,300,512,0.02,0.1943790180263904,0.010692740851556665,4.659574301439438
Outlier,300,1024,0.02,0.1588383648098452,0.005558312234552172,3.8076083018905504
Outlier,300,1024,0.03,0.1588383648098452,0.005558312234552172,3.8076083018905504
Outlier,300,1024,0.05,0.1588383648098452,0.005558312234552172,3.8076083018905504
Outlier,300,1024,auto,0.1588383648098452,0.005558312234552172,3.8076083018905504
Outlier,200,1024,0.02,0.15832106212611366,0.00672804282373903,3.795207733579963
Outlier,200,1024,0.03,0.15832106212611366,0.00672804282373903,3.795207733579963
Outlier,200,1024,0.05,0.15832106212611366,0.00672804282373903,3.795207733579963
Outlier,200,1024,auto,0.15832106212611366,0.00672804282373903,3.795207733579963
Outlier,100,1024,0.02,0.15785959017559065,0.009082266133682482,3.784145516766005
Outlier,100,1024,0.03,0.15785959017559065,0.009082266133682482,3.784145516766005
Outlier,100,1024,0.05,0.15785959017559065,0.009082266133682482,3.784145516766005
Outlier,100,1024,auto,0.15785959017559065,0.009082266133682482,3.784145516766005
