seq_len,units,code,pr_auc,epochs
6,16,4,0.3974,182
6,16,8,0.3122,143
6,16,16,0.68,400
6,32,4,0.4392,113
6,32,8,0.6321,125
6,32,16,0.568,337
6,64,4,0.3809,267
6,64,8,0.5051,94
6,64,16,0.6891,192
12,16,4,0.3311,127
12,16,8,0.2818,297
12,16,16,0.6027,400
12,32,4,0.3008,82
12,32,8,0.5102,193
12,32,16,0.3139,162
12,64,4,0.2928,135
12,64,8,0.4062,84
12,64,16,0.6852,205
24,16,4,0.2302,98
24,16,8,0.3801,181
24,16,16,0.4901,400
24,32,4,0.287,74
24,32,8,0.4041,107
24,32,16,0.4761,201
24,64,4,0.2798,43
24,64,8,0.388,65
24,64,16,0.4186,92
36,16,4,0.1595,111
36,16,8,0.2255,122
36,16,16,0.217,135
36,32,4,0.1535,51
36,32,8,0.1852,71
36,32,16,0.251,126
36,64,4,0.1773,45
36,64,8,0.2036,90
36,64,16,0.2357,91
