seq_len,units,code,pr_auc,epochs
3,64,16,0.6474,400
3,64,24,0.6164,400
3,64,32,0.5469,268
3,96,16,0.6606,246
3,96,24,0.6415,307
3,96,32,0.6403,102
3,128,16,0.505,133
3,128,24,0.6421,90
3,128,32,0.6075,375
6,64,16,0.7205,323
6,64,24,0.571,400
6,64,32,0.677,400
6,96,16,0.6904,270
6,96,24,0.6866,285
6,96,32,0.6678,400
6,128,16,0.6823,329
6,128,24,0.6426,361
6,128,32,0.6269,337
9,64,16,0.6821,266
9,64,24,0.6269,400
9,64,32,0.6669,191
9,96,16,0.5601,78
9,96,24,0.5376,230
9,96,32,0.669,342
9,128,16,0.6296,101
9,128,24,0.6501,227
9,128,32,0.6482,335
